🔬 2025-09-09 02:01:33,940 | DEBUG | Using proactor: IocpProactor
🔬 2025-09-09 02:01:46,378 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:48,409 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 400 29
🔬 2025-09-09 02:01:48,409 | ERROR | Embedding service error for query '': HTTP 400: {"error": "Text is required"}
🔬 2025-09-09 02:01:48,410 | INFO | 🔬 Identical queries similarity: 1.000000
🔬 2025-09-09 02:01:48,410 | INFO | 🔬 Cross-topic similarity (ML vs Cooking): 0.802392
🔬 2025-09-09 02:01:48,410 | INFO | 🔬 Embedding norms - avg: 1.000000, std: 0.000000
🔬 2025-09-09 02:01:48,410 | INFO | 
📍 PHASE 2: Memory Search Result Manipulation Detection
🔬 2025-09-09 02:01:48,410 | INFO | 🕵️ Investigating memory search result manipulation...
🔬 2025-09-09 02:01:48,410 | INFO | 🎯 Testing search query 'relevant': 'machine learning neural networks artificial intelligence'
🔬 2025-09-09 02:01:48,410 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:50,504 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17059
🔬 2025-09-09 02:01:50,505 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:01:54,566 | WARNING | ⚠️ Search connection error attempt 1/3
🔬 2025-09-09 02:01:56,580 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:00,626 | WARNING | ⚠️ Search connection error attempt 2/3
🔬 2025-09-09 02:02:02,627 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:06,723 | ERROR | Service error for 'relevant' query: Search connection error after 3 attempts: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /memories/search (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001DD7F6EF680>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))
🔬 2025-09-09 02:02:06,723 | INFO | 🎯 Testing search query 'irrelevant': 'cooking recipes pasta italian food'
🔬 2025-09-09 02:02:06,724 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:02:08,834 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17026
🔬 2025-09-09 02:02:08,835 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:12,939 | WARNING | ⚠️ Search connection error attempt 1/3
🔬 2025-09-09 02:02:14,954 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:19,032 | WARNING | ⚠️ Search connection error attempt 2/3
🔬 2025-09-09 02:02:21,034 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:25,111 | ERROR | Service error for 'irrelevant' query: Search connection error after 3 attempts: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /memories/search (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001DD7F6EF9B0>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))
🔬 2025-09-09 02:02:25,111 | INFO | 🎯 Testing search query 'nonsense': 'xyzabc123def456ghi789jkl'
🔬 2025-09-09 02:02:25,111 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:02:27,192 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17017
🔬 2025-09-09 02:02:27,193 | DEBUG | Starting new HTTP connection (1): localhost:8080
🔬 2025-09-09 02:02:31,255 | WARNING | ⚠️ Search connection error attempt 1/3
🔬 2025-09-09 02:02:33,266 | DEBUG | Starting new HTTP connection (1): localhost:8080
